,authors,title,venue,year,type,id,cited by,title_ranking
233,"Mohammed M. Ali, Mohammed M. Abu Shquier, Afag Slah Eldeen, Mohamed E. Zidan, Ra&apos;ed M. Al-Khatib",Novel approach in multilingual and mixed English-Arabic test collection.,Int. J. Comput. Sci. Math.,2020,Journal Articles,novelapproachinmultilingualandmixedenglisharabictestcollection2020,1.0,Novel approach multilingual mixed EnglishArabic test collection
234,"Mohammed Al-Sarem, Abdel-Hamid Emara, Ahmed Abdel Wahab",Performance of authorship attribution classifiers with short texts - application of religious Arabic fatwas.,Int. J. Data Min. Model. Manag.,2020,Journal Articles,performanceofauthorshipattributionclassifierswithshorttextsapplicationofreligiousarabicfatwas2020,,Performance authorship attribution classifiers short texts application religious Arabic fatwas
235,"Rolando Salas López, Darwin Gómez Fernández, Jhonsy Omar Silva López, Nilton B. Rojas Briceño, Manuel Oliva 0001, Renzo E. Terrones Murga, Daniel Iliquín Trigoso, Elgar Barboza Castillo, Miguel Ángel Barrena Gurbillón","Land Suitability for Coffee (Coffea arabica) Growing in Amazonas, Peru - Integrated Use of AHP, GIS and RS.",ISPRS Int. J. Geo Inf.,2020,Journal Articles,landsuitabilityforcoffeecoffeaarabicagrowinginamazonasperuintegrateduseofahpgisandrs2020,,Land Suitability Coffee Coffea arabica Growing Amazonas Peru Integrated AHP GIS RS
236,Khalid Suliman Al-Tahat,An Arabic Adaptation of the Usability Metric for User Experience (UMUX).,Int. J. Hum. Comput. Interact.,2020,Journal Articles,anarabicadaptationoftheusabilitymetricforuserexperienceumux2020,,Arabic Adaptation Usability Metric User Experience UMUX
237,"Trigui Sana, Ines Boujelben, Salma Jamoussi, Yassine Ben Ayed",A hybrid method for Arabic aspect-based sentiment analysis.,Int. J. Hybrid Intell. Syst.,2020,Journal Articles,ahybridmethodforarabicaspectbasedsentimentanalysis2020,,hybrid method Arabic aspectbased sentiment analysis
238,"Mohammed Omari, Yamina Ouled Jaafri, Rekia Dlim",Comparative Performance Analysis of Enhancement Methods Applied to Arabic Manuscripts.,Int. J. Image Graph.,2020,Journal Articles,comparativeperformanceanalysisofenhancementmethodsappliedtoarabicmanuscripts2020,,Comparative Performance Analysis Enhancement Methods Applied Arabic Manuscripts
239,"Fatima-Zahra El-Alami, Said Ouatik El Alaoui, Noureddine Ennahnahi",Deep Neural Models and Retrofitting for Arabic Text Categorization.,Int. J. Intell. Inf. Technol.,2020,Journal Articles,deepneuralmodelsandretrofittingforarabictextcategorization2020,7.0,Deep Neural Models Retrofitting Arabic Text Categorization
240,"Atallah AL-Shatnawi, Faisal Al-Saqqar, Safa&apos;a Alhusban",A Holistic Model for Recognition of Handwritten Arabic Text Based on the Local Binary Pattern Technique.,Int. J. Interact. Mob. Technol.,2020,Journal Articles,aholisticmodelforrecognitionofhandwrittenarabictextbasedonthelocalbinarypatterntechnique2020,,Holistic Model Recognition Handwritten Arabic Text Based Local Binary Pattern Technique
241,"Bodor Moheel Almotairy, Manal Abdullah, Rabeeh Abbasi",ECharacterize - A Novel Feature Selection-Based Framework for Characterizing Entrepreneurial Influencers in Arabic Twitter.,Int. J. Interact. Mob. Technol.,2020,Journal Articles,echaracterizeanovelfeatureselectionbasedframeworkforcharacterizingentrepreneurialinfluencersinarabictwitter2020,,ECharacterize Novel Feature SelectionBased Framework Characterizing Entrepreneurial Influencers Arabic Twitter
242,"Amani Tariq Jamal, Nahla Aljojo, Morooj Saleh Al-Ghamdi, Bashayer Abdulhakeem Hindi, Mashael Khaled Al-Ghanmi, Shaima Yassin Al-Jahdali, Baraa Mostafa Karam, Talah Fahad Abualnaja",The Akeffa Tutor Application - A New Arabic Writing System.,Int. J. Interact. Mob. Technol.,2020,Journal Articles,theakeffatutorapplicationanewarabicwritingsystem2020,,Akeffa Tutor Application Arabic Writing System
243,"Noura A. AlSomaikhi, Zakarya A. Alzamil",Twitter Users&apos; Classification Based on Interest - Case Study on Arabic Tweets.,Int. J. Inf. Retr. Res.,2020,Journal Articles,twitterusersaposclassificationbasedoninterestcasestudyonarabictweets2020,,Twitter Usersapos Classification Based Study Arabic Tweets
244,"Salima Behdenna, Fatiha Barigou, Ghalem Belalem",Towards Semantic Aspect-Based Sentiment Analysis for Arabic Reviews.,Int. J. Inf. Syst. Serv. Sect.,2020,Journal Articles,towardssemanticaspectbasedsentimentanalysisforarabicreviews2020,,Towards Semantic AspectBased Sentiment Analysis Arabic Reviews
245,"Maâmar Kef, Leila Chergui",Image matching technique based on SURF descriptors for offline handwritten Arabic word segmentation.,Int. J. Intell. Syst. Technol. Appl.,2020,Journal Articles,imagematchingtechniquebasedonsurfdescriptorsforofflinehandwrittenarabicwordsegmentation2020,,Image matching technique based SURF descriptors offline handwritten Arabic word segmentation
246,"Ines Turki Khemakhem, Salma Jamoussi, Abdelmajid Ben Hamadou",Improving English-Arabic statistical machine translation with morpho-syntactic and semantic word class.,Int. J. Intell. Syst. Technol. Appl.,2020,Journal Articles,improvingenglisharabicstatisticalmachinetranslationwithmorphosyntacticandsemanticwordclass2020,,Improving EnglishArabic statistical machine translation morphosyntactic semantic word class
247,"Dari AlHuwail, Rama Albaj, Fatma Ahmad, Khawlah Aldakheel",The state of mental digi-therapeutics - A systematic assessment of depression and anxiety apps available for Arabic speakers.,Int. J. Medical Informatics,2020,Journal Articles,thestateofmentaldigitherapeuticsasystematicassessmentofdepressionandanxietyappsavailableforarabicspeakers2020,,mental digitherapeutics systematic assessment depression anxiety apps available Arabic speakers
248,"Yaser Saleh, Ghassan Farid Issa",Arabic Sign Language Recognition through Deep Neural Networks Fine-Tuning.,Int. J. Online Biomed. Eng.,2020,Journal Articles,arabicsignlanguagerecognitionthroughdeepneuralnetworksfinetuning2020,3.0,Arabic Sign Language Recognition Deep Neural Networks FineTuning
249,"Mohammed Lataifeh, Ashraf Elnagar, Ismail Shahin, Ali Bou Nassif",Arabic audio clips - Identification and discrimination of authentic Cantillations from imitations.,Neurocomputing,2020,Journal Articles,arabicaudioclipsidentificationanddiscriminationofauthenticcantillationsfromimitations2020,4.0,Arabic audio clips Identification discrimination authentic Cantillations imitations
250,Omar Alharbi,Negation Handling in Machine Learning-Based Sentiment Classification for Colloquial Arabic.,Int. J. Oper. Res. Inf. Syst.,2020,Journal Articles,negationhandlinginmachinelearningbasedsentimentclassificationforcolloquialarabic2020,,Negation Handling Machine LearningBased Sentiment Classification Colloquial Arabic
251,"Sana Khamekhem Jemni, Yousri Kessentini, Slim Kanoun",Improving Recurrent Neural Networks for Offline Arabic Handwriting Recognition by Combining Different Language Models.,Int. J. Pattern Recognit. Artif. Intell.,2020,Journal Articles,improvingrecurrentneuralnetworksforofflinearabichandwritingrecognitionbycombiningdifferentlanguagemodels2020,,Improving Recurrent Neural Networks Offline Arabic Handwriting Recognition Combining Language Models
252,M. Aissiou,A genetic model for acoustic and phonetic decoding of standard arabic vowels in continuous speech.,Int. J. Speech Technol.,2020,Journal Articles,ageneticmodelforacousticandphoneticdecodingofstandardarabicvowelsincontinuousspeech2020,2.0,genetic model acoustic phonetic decoding arabic vowels continuous speech
253,"Ikbel Hadj Ali, Zied Mnasri, Zied Lachiri",DNN-based grapheme-to-phoneme conversion for Arabic text-to-speech synthesis.,Int. J. Speech Technol.,2020,Journal Articles,dnnbasedgraphemetophonemeconversionforarabictexttospeechsynthesis2020,1.0,DNNbased graphemetophoneme conversion Arabic texttospeech synthesis
254,"Hanane Bais, Mustapha Machkour, Lahcen Koutti",A model of a generic Arabic language interface for multimodel database.,Int. J. Speech Technol.,2020,Journal Articles,amodelofagenericarabiclanguageinterfaceformultimodeldatabase2020,,model generic Arabic language interface multimodel database
255,"Nacereddine Hammami, Isah Abdullahi Lawal, Mouldi Bedda, Nadir Farah",Recognition of Arabic speech sound error in children.,Int. J. Speech Technol.,2020,Journal Articles,recognitionofarabicspeechsounderrorinchildren2020,,Recognition Arabic speech sound error children
256,Imtiaz Hussain Khan,Correction to - Production of referring expressions in Arabic.,Int. J. Speech Technol.,2020,Journal Articles,correctiontoproductionofreferringexpressionsinarabic2020,,Correction Production referring expressions Arabic
257,"Imane Guellil, Ahsan Adeel, Faiçal Azouaou, Sara Chennoufi, Hanene Maafi, Thinhinane Hamitouche",Detecting hate speech against politicians in Arabic community on social media.,Int. J. Web Inf. Syst.,2020,Journal Articles,detectinghatespeechagainstpoliticiansinarabiccommunityonsocialmedia2020,,Detecting hate speech politicians Arabic community social
258,"Samer Abdulateef, Naseer Ahmed Khan, Bolin Chen, Xuequn Shang",Multidocument Arabic Text Summarization Based on Clustering and Word2Vec to Reduce Redundancy.,Inf.,2020,Journal Articles,multidocumentarabictextsummarizationbasedonclusteringandword2vectoreduceredundancy2020,,Multidocument Arabic Text Summarization Based Clustering Word2Vec Reduce Redundancy
259,"Ibrahim Bounhas, Nadia Soudani, Yahya Slimani",Building a morpho-semantic knowledge graph for Arabic information retrieval.,Inf. Process. Manag.,2020,Journal Articles,buildingamorphosemanticknowledgegraphforarabicinformationretrieval2020,11.0,Building morphosemantic knowledge graph Arabic information retrieval
260,"Ashraf Elnagar, Ridhwan Al Debsi, Omar Einea",Arabic text classification using deep learning models.,Inf. Process. Manag.,2020,Journal Articles,arabictextclassificationusingdeeplearningmodels2020,34.0,Arabic text classification deep learning models
261,"Wael Etaiwi, Arafat Awajan",Graph-based Arabic text semantic representation.,Inf. Process. Manag.,2020,Journal Articles,graphbasedarabictextsemanticrepresentation2020,6.0,Graphbased Arabic text semantic representation
262,"Fahd N. Al-Wesabi, Khalid Mahmood, Nadhem Nemri",A zero watermarking approach for content authentication and tampering detection of Arabic text based on fourth level order and word mechanism of Markov model.,J. Inf. Secur. Appl.,2020,Journal Articles,azerowatermarkingapproachforcontentauthenticationandtamperingdetectionofarabictextbasedonfourthlevelorderandwordmechanismofmarkovmodel2020,1.0,zero watermarking approach content authentication tampering detection Arabic text based fourth level word mechanism Markov model
263,"Pratik Ahamed, Soumyadeep Kundu, Tauseef Khan, Vikrant Bhateja, Ram Sarkar, Ayatullah Faruk Mollah",Handwritten Arabic numerals recognition using convolutional neural network.,J. Ambient Intell. Humaniz. Comput.,2020,Journal Articles,handwrittenarabicnumeralsrecognitionusingconvolutionalneuralnetwork2020,7.0,Handwritten Arabic numerals recognition convolutional neural network
264,"Hiba ALMarwi, Mossa Ghurab, Ibrahim A. Al-Baltah",A hybrid semantic query expansion approach for Arabic information retrieval.,J. Big Data,2020,Journal Articles,ahybridsemanticqueryexpansionapproachforarabicinformationretrieval2020,4.0,hybrid semantic query expansion approach Arabic information retrieval
265,"Molham Al-Maleh, Said Desouki",Arabic text summarization using deep learning approach.,J. Big Data,2020,Journal Articles,arabictextsummarizationusingdeeplearningapproach2020,1.0,Arabic text summarization deep learning approach
266,"El-Sayed M. El-Alfy, Sadam Al-Azani",Empirical study on imbalanced learning of Arabic sentiment polarity with neural word embedding.,J. Intell. Fuzzy Syst.,2020,Journal Articles,empiricalstudyonimbalancedlearningofarabicsentimentpolaritywithneuralwordembedding2020,2.0,Empirical study imbalanced learning Arabic sentiment polarity neural word embedding
267,"Marwah Alian, Arafat Awajan",Semantic Similarity for English and Arabic Texts - A Review.,J. Inf. Knowl. Manag.,2020,Journal Articles,semanticsimilarityforenglishandarabictextsareview2020,,Semantic Similarity Arabic Texts Review
268,"Sarah N. Alyami, Sunday O. Olatunji",Application of Support Vector Machine for Arabic Sentiment Classification Using Twitter-Based Dataset.,J. Inf. Knowl. Manag.,2020,Journal Articles,applicationofsupportvectormachineforarabicsentimentclassificationusingtwitterbaseddataset2020,4.0,Application Support Vector Machine Arabic Sentiment Classification TwitterBased Dataset
269,"Reda Elbarougy, Gamal Behery, Akram el Khatib",Graph-Based Extractive Arabic Text Summarization Using Multiple Morphological Analyzers.,J. Inf. Sci. Eng.,2020,Journal Articles,graphbasedextractivearabictextsummarizationusingmultiplemorphologicalanalyzers2020,2.0,GraphBased Extractive Arabic Text Summarization Multiple Morphological Analyzers
270,"Said Bahassine, Abdellah Madani, Mohammed Al-Sarem, Mohamed Kissi",Feature selection using an improved Chi-square for Arabic text classification.,J. King Saud Univ. Comput. Inf. Sci.,2020,Journal Articles,featureselectionusinganimprovedchisquareforarabictextclassification2020,61.0,Feature selection improved Chisquare Arabic text classification
271,"Souad Larabi Marie-Sainte, Nada Alalyani",Firefly Algorithm based Feature Selection for Arabic Text Classification.,J. King Saud Univ. Comput. Inf. Sci.,2020,Journal Articles,fireflyalgorithmbasedfeatureselectionforarabictextclassification2020,41.0,Firefly Algorithm based Feature Selection Arabic Text Classification
272,"Muhanna A. Muhanna, Rita N. Amro, Abdallah Qusef",Using a new set of heuristics in evaluating Arabic interfaces.,J. King Saud Univ. Comput. Inf. Sci.,2020,Journal Articles,usinganewsetofheuristicsinevaluatingarabicinterfaces2020,,set heuristics evaluating Arabic interfaces
273,"Ahmed Taha, Aya S. Hammad, Mazen Mohamed Selim",A high capacity algorithm for information hiding in Arabic text.,J. King Saud Univ. Comput. Inf. Sci.,2020,Journal Articles,ahighcapacityalgorithmforinformationhidinginarabictext2020,,capacity algorithm information hiding Arabic text
274,"Abdelhay Zoizou, Arsalane Zarghili, Ilham Chaker","A new hybrid method for Arabic multi-font text segmentation, and a reference corpus construction.",J. King Saud Univ. Comput. Inf. Sci.,2020,Journal Articles,anewhybridmethodforarabicmultifonttextsegmentationandareferencecorpusconstruction2020,,hybrid method Arabic multifont text segmentation reference corpus construction
275,"Mahmoud Zaher, Abdulaziz Shehab, Mohamed Elhoseny, Farahat Farag Farahat",Unsupervised Model for Detecting Plagiarism in Internet-based Handwritten Arabic Documents.,J. Organ. End User Comput.,2020,Journal Articles,unsupervisedmodelfordetectingplagiarismininternetbasedhandwrittenarabicdocuments2020,,Unsupervised Model Detecting Plagiarism Internetbased Handwritten Arabic Documents
276,"Qanita Bani Baker, Farah Shatnawi, Saif Rawashdeh, Mohammad Al-Smadi, Yaser Jararweh",Detecting Epidemic Diseases Using Sentiment Analysis of Arabic Tweets.,J. Univers. Comput. Sci.,2020,Journal Articles,detectingepidemicdiseasesusingsentimentanalysisofarabictweets2020,7.0,Detecting Epidemic Diseases Sentiment Analysis Arabic Tweets
277,"Ahmad S. Haider, Riyad F. Hussein",Analysing headlines as a way of downsizing news corpora - Evidence from an Arabic-English comparable corpus of newspaper articles.,Digit. Scholarsh. Humanit.,2020,Journal Articles,analysingheadlinesasawayofdownsizingnewscorporaevidencefromanarabicenglishcomparablecorpusofnewspaperarticles2020,,Analysing headlines downsizing news corpora Evidence ArabicEnglish comparable corpus newspaper articles
278,"Ehab W. Hermena, Erik D. Reichle",Insights from the study of Arabic reading.,Lang. Linguistics Compass,2020,Journal Articles,insightsfromthestudyofarabicreading2020,,Insights study Arabic reading
279,"Marwah Alian, Ghazi Al-Naymat, Banda Ramadan",Arabic real time entity resolution using inverted indexing.,Lang. Resour. Evaluation,2020,Journal Articles,arabicrealtimeentityresolutionusinginvertedindexing2020,,Arabic real time entity resolution inverted indexing
280,"Eiman Alsharhan, Allan Ramsay","Investigating the effects of gender, dialect, and training size on the performance of Arabic speech recognition.",Lang. Resour. Evaluation,2020,Journal Articles,investigatingtheeffectsofgenderdialectandtrainingsizeontheperformanceofarabicspeechrecognition2020,,Investigating effects gender dialect training size performance Arabic speech recognition
281,"Alexis Amid Neme, Sébastien Paumier",Restoring Arabic vowels through omission-tolerant dictionary lookup.,Lang. Resour. Evaluation,2020,Journal Articles,restoringarabicvowelsthroughomissiontolerantdictionarylookup2020,4.0,Restoring Arabic vowels omissiontolerant dictionary lookup
282,"Jihene Younes, Emna Souissi, Hadhemi Achour, Ahmed Ferchichi",Language resources for Maghrebi Arabic dialects&apos; NLP - a survey.,Lang. Resour. Evaluation,2020,Journal Articles,languageresourcesformaghrebiarabicdialectsaposnlpasurvey2020,,Language resources Maghrebi Arabic dialectsapos NLP survey
283,"Safia Meteb Awad Al-Nofaie, Adnan Abdul-Aziz Gutub",Utilizing pseudo-spaces to improve Arabic text steganography for multimedia data communications.,Multim. Tools Appl.,2020,Journal Articles,utilizingpseudospacestoimprovearabictextsteganographyformultimediadatacommunications2020,,Utilizing pseudospaces improve Arabic text steganography multimedia data communications
284,"Rania Maalej, Monji Kherallah",Improving the DBLSTM for on-line Arabic handwriting recognition.,Multim. Tools Appl.,2020,Journal Articles,improvingthedblstmforonlinearabichandwritingrecognition2020,6.0,Improving DBLSTM online Arabic handwriting recognition
285,"Hamouda Chantar, Majdi M. Mafarja, Hamad I. Alsawalqah, Ali Asghar Heidari, Ibrahim Aljarah, Hossam Faris",Feature selection using binary grey wolf optimizer with elite-based crossover for Arabic text classification.,Neural Comput. Appl.,2020,Journal Articles,featureselectionusingbinarygreywolfoptimizerwithelitebasedcrossoverforarabictextclassification2020,23.0,Feature selection binary grey wolf optimizer elitebased crossover Arabic text classification
286,"Sara Valikhani, Fardin Abdali Mohammadi, Abdolhossein Fathi",Online continuous multi-stroke Persian/Arabic character recognition by novel spatio-temporal features for digitizer pen devices.,Neural Comput. Appl.,2020,Journal Articles,onlinecontinuousmultistrokepersianarabiccharacterrecognitionbynovelspatiotemporalfeaturesfordigitizerpendevices2020,,Online continuous multistroke PersianArabic character recognition novel spatiotemporal features digitizer pen devices
287,"Kareem Darwish, Mohammed Attia, Hamdy Mubarak, Younes Samih, Ahmed Abdelali, Lluís Màrquez, Mohamed Eldesouki, Laura Kallmeyer",Effective multi-dialectal arabic POS tagging.,Nat. Lang. Eng.,2020,Journal Articles,effectivemultidialectalarabicpostagging2020,,Effective multidialectal arabic POS tagging
288,"Abualsoud Hanani, Rabee Naser",Spoken Arabic dialect recognition using X-vectors.,Nat. Lang. Eng.,2020,Journal Articles,spokenarabicdialectrecognitionusingxvectors2020,3.0,Spoken Arabic dialect recognition Xvectors
289,"Taghreed Tarmom, William John Teahan, Eric Atwell, Mohammad Ammar Alsalka",Compression versus traditional machine learning classifiers to detect code-switching in varieties and dialects - Arabic as a case study.,Nat. Lang. Eng.,2020,Journal Articles,compressionversustraditionalmachinelearningclassifierstodetectcodeswitchinginvarietiesanddialectsarabicasacasestudy2020,2.0,Compression versus traditional machine learning classifiers detect codeswitching varieties dialects Arabic study
290,"Safa Alsafari, Samira Sadaoui, Malek Mouhoub",Hate and offensive speech detection on Arabic social media.,Online Soc. Networks Media,2020,Journal Articles,hateandoffensivespeechdetectiononarabicsocialmedia2020,,Hate offensive speech detection Arabic social
291,Vladimir Kulikov,Laryngeal Contrast in Qatari Arabic - Effect of Speaking Rate on Voice Onset Time.,Phonetica,2020,Journal Articles,laryngealcontrastinqatariarabiceffectofspeakingrateonvoiceonsettime2020,11.0,Laryngeal Contrast Qatari Arabic Effect Speaking Rate Voice Onset Time
292,"Mohamed Ibn Khedher, Houda Jmila, Mounim A. El-Yacoubi",Automatic processing of Historical Arabic Documents - A comprehensive Survey.,Pattern Recognit.,2020,Journal Articles,automaticprocessingofhistoricalarabicdocumentsacomprehensivesurvey2020,,Automatic processing Historical Arabic Documents comprehensive Survey
293,"Maged Saeed AlShaibani, Zaid Alyafeai, Irfan Ahmad",Meter classification of Arabic poems using deep bidirectional recurrent neural networks.,Pattern Recognit. Lett.,2020,Journal Articles,meterclassificationofarabicpoemsusingdeepbidirectionalrecurrentneuralnetworks2020,5.0,Meter classification Arabic poems deep bidirectional recurrent neural networks
294,"Brahim Ait Ben Ali, Soukaina Mihi, Ismail El Bazi, Nabil Laachfoubi",A Recent Survey of Arabic Named Entity Recognition on Social Media.,Rev. d&apos;Intelligence Artif.,2020,Journal Articles,arecentsurveyofarabicnamedentityrecognitiononsocialmedia2020,,Recent Survey Arabic Named Entity Recognition Social
295,"Mouhssine El Atillah, Khalid El Fazazy",Recognition of Intrusive Alphabets to the Arabic Language Using a Deep Morphological Gradient.,Rev. d&apos;Intelligence Artif.,2020,Journal Articles,recognitionofintrusivealphabetstothearabiclanguageusingadeepmorphologicalgradient2020,,Recognition Intrusive Alphabets Arabic Language Deep Morphological Gradient
296,"Kheira Zineb Bousmaha, Nour H. Chergui, Mahfoud Sid Ali Mbarek, Lamia Hadrich Belguith",AQG - Arabic Question Generator.,Rev. d&apos;Intelligence Artif.,2020,Journal Articles,aqgarabicquestiongenerator2020,,AQG Arabic Question Generator
297,"Pawel Piotr Konieczka, María José Aliaño-González, Marta Ferreiro-González, Gerardo F. Barbero, Miguel Palma",Characterization of Arabica and Robusta Coffees by Ion Mobility Sum Spectrum.,Sensors,2020,Journal Articles,characterizationofarabicaandrobustacoffeesbyionmobilitysumspectrum2020,,Characterization Arabica Robusta Coffees Ion Mobility Sum Spectrum
298,"Gancarz Marek, Bohdan Dobrzanski, Tomasz Oniszczuk, Maciej Combrzynski, Daniel Cwikla, Robert Rusinek",Detection and Differentiation of Volatile Compound Profiles in Roasted Coffee Arabica Beans from Different Countries Using an Electronic Nose and GC-MS.,Sensors,2020,Journal Articles,detectionanddifferentiationofvolatilecompoundprofilesinroastedcoffeearabicabeansfromdifferentcountriesusinganelectronicnoseandgcms2020,,Detection Differentiation Volatile Compound Profiles Roasted Coffee Arabica Beans Countries Electronic Nose GCMS
299,"Imane Guellil, Faiçal Azouaou, Francisco Chiclana",ArAutoSenti - automatic annotation and new tendencies for sentiment classification of Arabic messages.,Soc. Netw. Anal. Min.,2020,Journal Articles,arautosentiautomaticannotationandnewtendenciesforsentimentclassificationofarabicmessages2020,2.0,ArAutoSenti automatic annotation tendencies sentiment classification Arabic messages
300,"Abubakr H. Ombabi, Wael Ouarda, Adel M. Alimi",Deep learning CNN-LSTM framework for Arabic sentiment analysis using textual information shared in social networks.,Soc. Netw. Anal. Min.,2020,Journal Articles,deeplearningcnnlstmframeworkforarabicsentimentanalysisusingtextualinformationsharedinsocialnetworks2020,,Deep learning CNNLSTM framework Arabic sentiment analysis textual information shared social networks
301,"Amani Ali Ahmed Ali, M. Suresha",Survey on Segmentation and Recognition of Handwritten Arabic Script.,SN Comput. Sci.,2020,Journal Articles,surveyonsegmentationandrecognitionofhandwrittenarabicscript2020,2.0,Survey Segmentation Recognition Handwritten Arabic Script
302,"Amani Ali Ahmed Ali, M. Suresha, Heba Ali Mohsin Ahmed",A Survey on Arabic Handwritten Character Recognition.,SN Comput. Sci.,2020,Journal Articles,asurveyonarabichandwrittencharacterrecognition2020,3.0,Survey Arabic Handwritten Character Recognition
303,"Mohammed M. Fouad, Ahmed Mahany, Naif R. Aljohani, Rabeeh Ayaz Abbasi, Saeed-Ul Hassan",ArWordVec - efficient word embedding models for Arabic tweets.,Soft Comput.,2020,Journal Articles,arwordvecefficientwordembeddingmodelsforarabictweets2020,7.0,ArWordVec efficient word embedding models Arabic tweets
304,Lamiaa Abdel-Hamid,"Egyptian Arabic speech emotion recognition using prosodic, spectral and wavelet features.",Speech Commun.,2020,Journal Articles,egyptianarabicspeechemotionrecognitionusingprosodicspectralandwaveletfeatures2020,10.0,Egyptian Arabic speech emotion recognition prosodic spectral wavelet features
305,"Tiba Zaki Abdulhameed, Imed Zitouni, Ikhlas Abdel-Qader",Wasf-Vec - Topology-based Word Embedding for Modern Standard Arabic and Iraqi Dialect Ontology.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,wasfvectopologybasedwordembeddingformodernstandardarabicandiraqidialectontology2020,,WasfVec Topologybased Word Embedding Arabic Iraqi Dialect Ontology
306,"Manar Alkhatib, Azza Abdel Monem, Khaled Shaalan",Deep Learning for Arabic Error Detection and Correction.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,deeplearningforarabicerrordetectionandcorrection2020,,Deep Learning Arabic Error Detection Correction
307,"Mohamed Seghir Hadj Ameur, Riadh Belkebir, Ahmed Guessoum",Robust Arabic Text Categorization by Combining Convolutional and Recurrent Neural Networks.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,robustarabictextcategorizationbycombiningconvolutionalandrecurrentneuralnetworks2020,1.0,Robust Arabic Text Categorization Combining Convolutional Recurrent Neural Networks
308,"Gilbert Badaro, Hazem M. Hajj, Nizar Habash",A Link Prediction Approach for Accurately Mapping a Large-scale Arabic Lexical Resource to English WordNet.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,alinkpredictionapproachforaccuratelymappingalargescalearabiclexicalresourcetoenglishwordnet2020,1.0,Link Prediction Approach Accurately Mapping Largescale Arabic Lexical Resource WordNet
309,"Majdi Beseiso, Haytham H. Elmousalami",Subword Attentive Model for Arabic Sentiment Analysis - A Deep Learning Approach.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,subwordattentivemodelforarabicsentimentanalysisadeeplearningapproach2020,4.0,Subword Attentive Model Arabic Sentiment Analysis Deep Learning Approach
310,"Rim Laatar, Chafik Aloulou, Lamia Hadrich Belguith",Disambiguating Arabic Words According to Their Historical Appearance in the Document Based on Recurrent Neural Networks.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,disambiguatingarabicwordsaccordingtotheirhistoricalappearanceinthedocumentbasedonrecurrentneuralnetworks2020,1.0,Disambiguating Arabic Words According Historical Appearance Document Based Recurrent Neural Networks
311,"Tinghuai Ma, Raeed Alsabri, Lejun Zhang, Bockarie Daniel Marah, Najla Al-Nabhan",The Impact of Weighting Schemes and Stemming Process on Topic Modeling of Arabic Long and Short Texts.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,theimpactofweightingschemesandstemmingprocessontopicmodelingofarabiclongandshorttexts2020,,Impact Weighting Schemes Stemming Process Topic Modeling Arabic Short Texts
312,"Rana Malhas, Tamer Elsayed",AyaTEC - Building a Reusable Verse-Based Test Collection for Arabic Question Answering on the Holy Qur&apos;an.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,ayatecbuildingareusableversebasedtestcollectionforarabicquestionansweringontheholyquraposan2020,,AyaTEC Building Reusable VerseBased Test Collection Arabic Question Answering Holy Quraposan
313,"Abir Masmoudi 0001, Mariem Ellouze Khmekhem, Mourad Khrouf, Lamia Hadrich Belguith",Transliteration of Arabizi into Arabic Script for Tunisian Dialect.,ACM Trans. Asian Low Resour. Lang. Inf. Process.,2020,Journal Articles,transliterationofarabiziintoarabicscriptfortunisiandialect2020,,Transliteration Arabizi Arabic Script Tunisian Dialect
314,"Abir Fathallah, Mohamed Ibn Khedher, Mounim A. El-Yacoubi, Najoua Essoukri Ben Amara",Evaluation of Feature-Embedding Methods for Word Spotting in Historical Arabic Documents.,SSD,2020,Conference and Workshop Papers,evaluationoffeatureembeddingmethodsforwordspottinginhistoricalarabicdocuments2020,,Evaluation FeatureEmbedding Methods Word Spotting Historical Arabic Documents
315,"Mahmoud Daif, Shunsuke Kitada, Hitoshi Iyatomi",AraDIC - Arabic Document Classification Using Image-Based Character Embeddings and Class-Balanced Loss.,ACL,2020,Conference and Workshop Papers,aradicarabicdocumentclassificationusingimagebasedcharacterembeddingsandclassbalancedloss2020,,AraDIC Arabic Document Classification ImageBased Character Embeddings ClassBalanced Loss
316,Ayman Yafoz,Towards Analyzing the Sentiments in the Fields of Automobiles and Real-Estates with Specific Focus on Arabic Online Reviews.,Canadian Conference on AI,2020,Conference and Workshop Papers,towardsanalyzingthesentimentsinthefieldsofautomobilesandrealestateswithspecificfocusonarabiconlinereviews2020,,Towards Analyzing Sentiments Fields Automobiles RealEstates Specific Focus Arabic Online Reviews
317,"Adel Atef, Bassam Mattar, Sandra Sherif, Eman Elrefai, Marwan Torki","AQAD - 17, 000+ Arabic Questions for Machine Comprehension of Text.",AICCSA,2020,Conference and Workshop Papers,aqad17000+arabicquestionsformachinecomprehensionoftext2020,,AQAD 17 000+ Arabic Questions Machine Comprehension Text
